route_short_name,cars_per_train,rush_hour_capacity_per_car,total_rush_hour_capacity
0,1,10,310,3100
1,2,10,310,3100
2,3,10,310,3100
3,4,10,310,3100
4,5,10,310,3100
5,6,10,310,3100
6,6X,10,310,3100
7,7,11,310,3410
8,7X,11,310,3410
9,A,10,365,3650
10,B,10,365,3650
11,C,8,365,2920
12,D,10,365,3650
13,E,10,365,3650
14,F,10,365,3650
15,FX,10,365,3650
16,G,5,365,1825
17,J,8,365,2920
18,8,365,2920
19,M,8,365,2920
20,N,10,365,3650
21,Q,10,365,3650
22,R,10,365,3650
23,S,6,310,1860
24,W,10,365,3650
25,Z,8,365,2920